id,song,stem,condition,domain,ld,ld_loudness_matched,absolute_lufs_difference,absolute_crest_difference_db,centered_envelope_rmse_db,centered_band_rmse_db,max_stage_clipped_fraction
history_008_vocals,M.E.R.C. Music - Knockout,vocals,comp_ratio2,normalized,0.5383445024490356,0.47852906584739685,1.5557570659282476,1.8143216679038332,2.0169195814418437,0.4154870808124542,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,comp_ratio4,input,1.2216858863830566,0.6177582740783691,7.569783157929031,3.9303028304680296,3.2813425398562646,1.5079354047775269,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,comp_ratio4,normalized,0.7731772661209106,0.6724504232406616,2.3399086234951554,2.410726189293854,3.0061764101895814,0.6432927846908569,0.0
history_008_other,M.E.R.C. Music - Knockout,other,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_other,M.E.R.C. Music - Knockout,other,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_other,M.E.R.C. Music - Knockout,other,gain_minus6,input,1.1518359184265137,7.10030144546181e-06,6.000000469980492,1.0387651627752348e-08,9.280159521069598e-09,4.825252744922182e-06,0.0
history_008_other,M.E.R.C. Music - Knockout,other,gain_minus6,normalized,0.005233726464211941,0.005233726464211941,1.2518613345946505e-07,4.927645349539489e-07,4.600537317563961e-05,9.800134648685344e-06,0.0
history_008_other,M.E.R.C. Music - Knockout,other,gain_plus6,input,1.6695106029510498,7.879249096731655e-06,5.999999801636445,9.023415259434842e-08,8.739525746777929e-09,4.178791641606949e-06,0.0
history_008_other,M.E.R.C. Music - Knockout,other,gain_plus6,normalized,0.009598705917596817,0.009603284299373627,1.7275539399008721e-06,1.6230536985517574e-06,5.626412915881601e-05,2.5589766664779745e-05,0.0
history_008_other,M.E.R.C. Music - Knockout,other,eq_minus6,input,0.367234468460083,0.43900081515312195,2.282994904437569,0.10521992070355779,0.6042377251147704,1.6459643840789795,0.0
history_008_other,M.E.R.C. Music - Knockout,other,eq_minus6,normalized,0.1539895385503769,0.15375091135501862,0.010599174446866755,0.38058162910513005,0.07278943423192086,0.017993519082665443,0.0
history_008_other,M.E.R.C. Music - Knockout,other,eq_plus6,input,0.5893619060516357,0.5311568975448608,3.1590369754412926,0.3877266809177442,0.5755210115275389,1.724496841430664,0.0
history_008_other,M.E.R.C. Music - Knockout,other,eq_plus6,normalized,0.15213581919670105,0.14922787249088287,0.08613459744628571,1.0077906625180333,0.14413758103787805,0.023699898272752762,0.0
history_008_other,M.E.R.C. Music - Knockout,other,comp_ratio2,input,0.8132035136222839,0.3478788137435913,4.336466705977511,2.581202484293158,1.8242730027652443,0.2213316261768341,0.0
history_008_other,M.E.R.C. Music - Knockout,other,comp_ratio2,normalized,0.3714831471443176,0.3697030544281006,0.06867717409631524,0.8035958048555258,1.6866318451419267,0.4393804669380188,0.0
history_008_other,M.E.R.C. Music - Knockout,other,comp_ratio4,input,1.1397464275360107,0.5238761305809021,6.281346071193482,2.9576781737301623,2.7218231746927706,0.3911716938018799,0.0
history_008_other,M.E.R.C. Music - Knockout,other,comp_ratio4,normalized,0.5132419466972351,0.5139455795288086,0.03906342309490185,1.4102513000852106,2.5642040878555403,0.7798856496810913,0.0
history_009_bass,Georgia Wonder - Siren,bass,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_009_bass,Georgia Wonder - Siren,bass,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_009_bass,Georgia Wonder - Siren,bass,gain_minus6,input,1.0260765552520752,6.615024176426232e-05,6.00000049977022,1.5355673887995636e-07,1.0560000672708658,4.178791641606949e-06,0.0
history_009_bass,Georgia Wonder - Siren,bass,gain_minus6,normalized,0.026258226484060287,0.02626689523458481,3.0801497459265192e-06,3.023304547156158e-06,0.002501996603378127,3.86397005058825e-05,0.0
